id,name,description,continent,language,country_code
5051,Indonesia,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Asia,Chinese,ID
5052,China,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Oceania,Italian,CN
5053,Ivory Coast,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Oceania,Italian,CI
5054,China,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,North America,Japanese,CN
5055,Indonesia,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Europe,French,ID
5056,Brazil,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Africa,French,BR
5057,Ukraine,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,South America,Russian,UA
5058,Sweden,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Europe,German,SE
5059,Indonesia,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Asia,French,ID
5060,China,Sed ante. Vivamus tortor. Duis mattis egestas metus.,South America,Russian,CN
5061,Czech Republic,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Africa,Italian,CZ
5062,Kazakhstan,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Africa,French,KZ
5063,Kosovo,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",North America,Chinese,XK
5064,Georgia,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Oceania,Spanish,GE
5065,Niger,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Oceania,Spanish,NE
5066,Czech Republic,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Oceania,Chinese,CZ
5067,Indonesia,Fusce consequat. Nulla nisl. Nunc nisl.,South America,Russian,ID
5068,Brazil,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Asia,German,BR
5069,Philippines,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Africa,Russian,PH
5070,Indonesia,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Europe,French,ID
5071,China,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,North America,Japanese,CN
5072,Portugal,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,North America,English,PT
5073,Egypt,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Oceania,Japanese,EG
5074,Costa Rica,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Oceania,Russian,CR
5075,Philippines,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Oceania,Spanish,PH
5076,Canada,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Africa,Italian,CA
5077,China,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Africa,Spanish,CN
5078,Indonesia,Sed ante. Vivamus tortor. Duis mattis egestas metus.,North America,Spanish,ID
5079,China,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Oceania,English,CN
5080,Ethiopia,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Asia,Spanish,ET
5081,Lithuania,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Europe,Spanish,LT
5082,Thailand,In congue. Etiam justo. Etiam pretium iaculis justo.,Africa,English,TH
5083,Sierra Leone,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Asia,Russian,SL
