name,description,time_creation,followers,ranking
Garden,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,7/15/2000,426448,255
Home,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,2/14/2002,603018,119
Books,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,7/8/2004,224447,188
Outdoors,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,1/31/2002,100247,117
Kids,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,4/21/2019,404748,34
Clothing,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,6/1/2012,136224,21
Baby,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,9/26/2008,503506,280
Health,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,5/7/2016,981807,190
Movies,consequat in consequat ut nulla sed accumsan felis ut at dolor,4/17/2003,64883,287
Jewelry,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,8/22/2005,708106,62
Toys,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at,7/26/2005,539258,49
Tools,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,11/29/2000,970684,220
Movies_1,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,3/21/2019,931379,205
Games,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,9/8/2021,63558,122
Movies_2,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,5/16/2024,728812,95
Clothing_1,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,6/8/2021,351804,173
Automotive,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,11/28/2022,324811,130
Jewelry_1,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,8/9/2000,394650,273
Sports,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,8/15/2014,200961,199
Computers,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,7/7/2002,797277,60
Games_1,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,7/26/2024,319175,188
Movies_3,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,12/1/2015,784329,113
Tools_1,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,11/5/2019,550947,188
Electronics,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,8/17/2006,806239,119
Beauty,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,10/23/2014,444118,227
Grocery,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,5/1/2001,593666,107
Outdoors_1,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,5/10/2017,667167,90
Industrial,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus,3/19/2004,516847,278
Movies_4,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,4/14/2008,79664,95
Grocery_1,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,5/17/2023,702199,84
Industrial_1,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,10/8/2009,849704,259
Outdoors_2,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,10/19/2016,438011,57
Shoes,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,2/20/2024,907111,136
Sports_1,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,5/3/2010,612435,93
Games_2,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,5/19/2022,995493,246
Electronics_1,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,9/15/2003,709957,48
Baby_1,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,1/30/2017,860512,87
Automotive_1,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,2/23/2018,108781,182
Industrial_2,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,3/28/2004,374708,71
Garden_1,mattis nibh ligula nec sem duis aliquam convallis nunc proin at,5/28/2000,611333,174
Toys_1,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,11/11/2005,916170,162
Automotive_2,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,5/3/2024,123440,147
