from_node_id,to_node_id,relation_name,visibility,source,time_stamp
134,4990,CREATED,public,mobile,2020-09-04 08:43:47
361,4792,CREATED,private,mobile,2023-01-23 15:04:03
2490,4900,CREATED,private,mobile,2022-07-02 04:27:07
2116,4963,CREATED,private,web,2021-03-15 06:01:12
1498,4884,CREATED,private,mobile,2021-08-02 15:05:09
1686,5018,CREATED,public,mobile,2022-01-05 01:27:19
1046,4940,CREATED,public,web,2020-12-09 15:26:46
1930,5045,CREATED,private,mobile,2020-03-07 09:18:22
438,4827,CREATED,private,web,2023-02-06 00:49:50
1030,5005,CREATED,private,mobile,2021-01-17 12:18:25
1967,4926,CREATED,private,mobile,2021-06-27 14:59:21
2399,4932,CREATED,private,mobile,2021-10-28 10:27:31
878,4839,CREATED,private,web,2023-04-17 03:47:50
2123,4737,CREATED,private,web,2023-06-02 22:34:14
2829,4914,CREATED,private,mobile,2020-03-26 13:53:23
1502,4769,CREATED,public,web,2021-08-02 17:24:17
843,4837,CREATED,public,web,2022-09-11 19:56:30
2215,4845,CREATED,public,web,2022-10-09 19:33:20
2755,4861,CREATED,public,web,2023-11-16 02:13:46
2280,4746,CREATED,public,web,2023-01-14 12:33:12
1542,4818,CREATED,public,mobile,2021-02-21 03:46:37
2745,4908,CREATED,public,mobile,2023-09-19 03:54:49
1269,4995,CREATED,private,web,2022-10-27 17:14:43
1216,4949,CREATED,public,web,2022-12-01 01:28:07
1699,4970,CREATED,private,mobile,2022-04-21 09:56:48
447,4858,CREATED,public,mobile,2021-02-26 05:51:48
2014,4885,CREATED,public,web,2021-04-25 05:49:22
2148,4772,CREATED,private,mobile,2023-12-10 02:46:48
1230,4824,CREATED,public,web,2023-10-15 01:14:27
2187,4859,CREATED,private,mobile,2023-09-21 06:37:06
808,4797,CREATED,private,mobile,2020-01-26 15:55:21
2075,4767,CREATED,private,web,2022-03-16 18:17:22
2710,4709,CREATED,private,mobile,2020-06-05 14:07:35
25,4719,CREATED,private,web,2020-03-15 17:57:13
2257,4757,CREATED,public,web,2021-06-29 15:11:59
2819,4932,CREATED,private,web,2020-01-25 22:11:02
1683,4965,CREATED,private,mobile,2020-04-24 12:10:02
990,4887,CREATED,private,web,2021-11-30 22:53:10
181,4711,CREATED,private,mobile,2020-07-07 18:23:12
367,4982,CREATED,public,mobile,2022-10-20 19:33:39
514,5049,CREATED,public,web,2022-12-06 16:55:10
800,4771,CREATED,public,mobile,2021-04-28 21:48:40
851,4760,CREATED,private,web,2023-10-24 05:14:38
1420,4756,CREATED,public,web,2023-01-09 03:46:20
2850,4832,CREATED,public,web,2023-11-28 21:55:47
1143,4863,CREATED,public,mobile,2022-12-08 09:13:27
2966,4815,CREATED,private,mobile,2021-05-20 09:48:33
252,4826,CREATED,private,mobile,2020-03-22 23:18:16
1939,5012,CREATED,private,web,2021-02-25 16:51:03
816,4785,CREATED,public,web,2022-04-26 01:02:30
2951,4760,CREATED,public,web,2023-08-19 20:01:54
1878,4965,CREATED,public,web,2022-06-18 03:43:57
83,4751,CREATED,public,web,2021-02-09 11:44:31
1765,4988,CREATED,public,web,2021-05-05 18:04:57
2312,4988,CREATED,private,web,2021-03-18 08:34:44
36,5040,CREATED,public,web,2021-08-27 22:00:29
319,4724,CREATED,private,web,2022-05-13 22:05:40
2143,4908,CREATED,private,mobile,2020-07-08 07:05:15
1331,4751,CREATED,private,mobile,2022-05-12 04:33:15
1932,5001,CREATED,public,web,2020-06-10 20:07:47
348,4976,CREATED,public,mobile,2020-03-24 10:55:26
2262,4856,CREATED,private,mobile,2022-10-11 06:39:16
1699,4862,CREATED,public,web,2022-11-26 09:51:59
2138,4826,CREATED,public,mobile,2023-07-17 14:21:08
185,4982,CREATED,public,mobile,2020-11-02 01:18:13
688,4816,CREATED,public,mobile,2021-02-26 05:29:34
83,4967,CREATED,public,mobile,2022-07-23 23:56:54
652,5020,CREATED,public,web,2020-06-24 08:06:16
2662,4941,CREATED,public,web,2023-06-15 19:49:51
1666,5010,CREATED,public,mobile,2023-03-15 21:36:50
115,4935,CREATED,private,mobile,2022-12-29 01:39:42
332,4954,CREATED,public,mobile,2021-12-12 19:18:53
2798,4766,CREATED,public,mobile,2023-12-28 06:36:13
1631,4890,CREATED,public,mobile,2020-05-30 11:27:12
33,4821,CREATED,public,web,2023-12-23 10:06:41
2043,4760,CREATED,public,mobile,2021-04-05 05:16:54
1265,4733,CREATED,private,mobile,2020-02-18 23:32:58
1695,4823,CREATED,private,mobile,2022-10-24 04:12:39
1108,4997,CREATED,public,mobile,2021-04-07 22:52:18
1512,5027,CREATED,private,web,2022-12-16 19:51:29
2382,4934,CREATED,public,mobile,2021-06-03 02:03:10
175,4877,CREATED,public,web,2022-01-16 03:30:42
2872,4710,CREATED,private,mobile,2021-09-13 13:41:21
2691,4725,CREATED,public,mobile,2020-02-02 04:49:36
1945,4956,CREATED,public,mobile,2020-02-28 03:30:34
1427,4929,CREATED,public,mobile,2022-12-11 05:02:16
2505,4905,CREATED,private,web,2023-02-16 07:39:14
921,4848,CREATED,public,web,2020-03-19 15:01:30
260,4911,CREATED,private,web,2022-08-04 12:35:31
87,4723,CREATED,public,mobile,2021-07-24 13:10:33
871,4805,CREATED,private,web,2020-04-24 01:12:53
377,4789,CREATED,public,mobile,2021-01-05 02:21:02
2875,4953,CREATED,private,web,2023-01-24 21:58:27
846,4740,CREATED,private,mobile,2020-08-14 19:51:28
104,5003,CREATED,private,web,2023-03-15 04:43:21
2271,4892,CREATED,public,mobile,2022-07-27 21:25:22
437,4922,CREATED,private,mobile,2020-11-16 22:59:52
739,4738,CREATED,public,mobile,2021-08-19 17:34:24
967,4906,CREATED,public,web,2023-10-22 18:26:56
998,5006,CREATED,public,web,2021-10-27 11:33:36
