from_node_id,to_node_id,relation_name,browser,source,time
2038,4515,LIKES,Chrome,web,2020-10-10 12:23:28
1291,4415,LIKES,Safari,web,2023-02-13 21:42:29
2350,4025,LIKES,Chrome,web,2020-02-01 22:10:24
2817,4418,LIKES,Chrome,web,2023-03-20 18:55:28
1209,4344,LIKES,Safari,web,2022-05-13 10:27:20
2169,4536,LIKES,Safari,mobile,2021-10-13 10:32:36
2643,4074,LIKES,Safari,mobile,2023-02-02 06:28:26
1057,4283,LIKES,Safari,mobile,2021-09-27 09:16:14
438,4675,LIKES,Safari,mobile,2023-05-16 00:07:06
2689,4404,LIKES,Safari,web,2023-05-26 09:13:04
2207,4183,LIKES,Safari,web,2023-09-05 02:25:41
2177,4198,LIKES,Safari,web,2022-09-26 06:21:42
2559,4344,LIKES,Safari,mobile,2022-10-25 07:40:33
236,4084,LIKES,Safari,mobile,2022-06-18 19:50:37
2068,4282,LIKES,Chrome,mobile,2020-08-25 09:45:21
1913,4596,LIKES,Safari,web,2020-02-17 17:16:53
481,4088,LIKES,Chrome,web,2020-06-20 10:27:27
1552,4544,LIKES,Safari,mobile,2023-10-21 06:27:11
1756,4607,LIKES,Safari,web,2020-06-24 21:39:07
514,4491,LIKES,Safari,web,2023-08-12 09:26:15
1624,4213,LIKES,Safari,mobile,2022-05-20 01:20:06
1671,4623,LIKES,Chrome,web,2021-10-04 17:39:40
263,4055,LIKES,Safari,mobile,2023-09-15 08:34:29
2276,4029,LIKES,Safari,web,2023-04-04 10:09:14
117,4390,LIKES,Chrome,mobile,2021-02-20 10:30:41
1014,4456,LIKES,Safari,web,2020-11-15 13:19:28
1540,4028,LIKES,Safari,web,2023-06-03 17:58:23
1712,4360,LIKES,Safari,mobile,2022-04-16 05:57:53
1189,4426,LIKES,Safari,mobile,2022-03-07 02:00:48
1957,4455,LIKES,Safari,web,2021-07-17 12:23:11
1705,4474,LIKES,Chrome,web,2021-02-21 03:15:15
880,4698,LIKES,Safari,mobile,2021-06-02 15:22:56
615,4124,LIKES,Safari,mobile,2023-04-03 19:04:15
1839,4405,LIKES,Safari,web,2023-03-19 17:06:28
2726,4314,LIKES,Chrome,web,2022-03-05 16:20:37
463,4304,LIKES,Chrome,mobile,2023-04-18 23:36:56
261,4357,LIKES,Safari,web,2020-09-25 05:35:08
772,4220,LIKES,Chrome,web,2023-04-24 15:07:22
1310,4468,LIKES,Chrome,web,2022-10-11 06:13:41
1094,4494,LIKES,Safari,mobile,2020-06-06 23:15:40
2913,4338,LIKES,Chrome,web,2023-12-09 20:02:44
2695,4366,LIKES,Chrome,mobile,2023-07-05 06:46:30
2084,4435,LIKES,Safari,web,2020-07-23 12:29:36
803,4695,LIKES,Safari,web,2022-06-11 15:30:25
573,4484,LIKES,Chrome,mobile,2023-09-16 04:27:57
530,4521,LIKES,Safari,web,2020-12-07 12:16:34
2571,4566,LIKES,Safari,mobile,2020-03-06 13:42:58
761,4372,LIKES,Chrome,mobile,2021-01-11 02:58:30
720,4195,LIKES,Chrome,mobile,2021-04-25 00:14:02
438,4160,LIKES,Safari,web,2023-05-13 13:18:03
583,4138,LIKES,Safari,web,2023-12-06 15:35:53
504,4454,LIKES,Chrome,mobile,2020-11-28 19:46:40
629,4695,LIKES,Chrome,mobile,2020-11-24 15:40:32
108,4150,LIKES,Chrome,mobile,2022-04-14 01:54:17
2057,4202,LIKES,Safari,web,2021-05-10 11:08:11
650,4145,LIKES,Safari,web,2020-08-04 13:51:09
2025,4636,LIKES,Chrome,web,2023-10-06 03:18:23
2358,4339,LIKES,Chrome,mobile,2021-09-17 12:32:42
2593,4330,LIKES,Safari,mobile,2020-09-15 13:09:51
659,4161,LIKES,Chrome,web,2022-02-10 07:47:02
2098,4360,LIKES,Chrome,mobile,2021-09-16 12:25:17
2081,4402,LIKES,Safari,web,2021-02-04 18:32:53
1351,4619,LIKES,Safari,mobile,2020-01-03 06:53:22
2969,4098,LIKES,Chrome,web,2021-02-13 04:47:40
2080,4271,LIKES,Safari,mobile,2023-09-19 23:47:06
1184,4363,LIKES,Safari,mobile,2021-08-09 01:11:20
2567,4202,LIKES,Chrome,web,2023-11-30 00:23:18
2000,4298,LIKES,Safari,web,2023-01-09 19:25:23
821,4272,LIKES,Chrome,web,2020-04-19 13:04:14
758,4172,LIKES,Chrome,web,2022-12-08 18:43:13
1591,4656,LIKES,Chrome,web,2021-09-07 03:32:22
136,4254,LIKES,Safari,mobile,2023-03-09 15:19:44
2995,4149,LIKES,Safari,mobile,2021-05-26 23:15:31
1203,4474,LIKES,Chrome,web,2021-06-20 00:51:06
2592,4336,LIKES,Safari,web,2020-01-19 13:33:06
1311,4468,LIKES,Safari,mobile,2020-09-22 06:13:32
2513,4365,LIKES,Chrome,web,2020-01-08 09:22:54
1674,4066,LIKES,Safari,mobile,2020-04-10 08:10:41
2328,4558,LIKES,Chrome,web,2023-10-19 10:45:48
210,4626,LIKES,Chrome,mobile,2023-12-19 19:10:07
1540,4588,LIKES,Chrome,web,2021-01-10 04:35:00
1490,4224,LIKES,Safari,mobile,2020-03-24 06:02:12
1355,4512,LIKES,Chrome,mobile,2023-02-22 22:38:10
1439,4625,LIKES,Chrome,web,2023-04-12 08:50:34
2154,4273,LIKES,Chrome,web,2020-02-14 16:59:48
672,4603,LIKES,Safari,web,2020-12-03 01:26:49
